key,KR
f3e08deb,설정치보다 낮은 심박수 감지됨.
c36f4181,목표 이상
1.77E+09,대학 건물
608a2e8a,접근 제한
a786cda3,활성: %1
25c936b6,활성 칼로리
20c92ed7,활성 칼로리
4f446a53,활성 칼로리
e7b30ecd,활성 칼로리
c8b2de00,활성 칼로리
138dc5c8,급성 부하
15039bab,추가
f16d9998,어드레스
a5b04c8f,행정 건물
af16a1c1,항공사진
84739c9e,유산소 효과
b0da91a8,아프리카식
64cf6317,항공운송
9f13e3b8,램프
5d99911d,비포장
a6def20d,항공기 도로
187bbd74,비이컨
c29b6398,블라스트패드
40cfa630,건물
366cd324,개방구역
134af506,위치
4eae6ae1,활주로 이설 시단
5a6c6335,공항구역
fe996627,공항입구
1b943999,헬리패드
8ab4491b,핫스팟
a61cfc77,LAHSO
be602829,과주구역
7706407d,폐쇄활주로
46ad8fe8,공사 중
4a565e3c,활주로
511ff58c,활주로 말단
1b2d19ec,비포장 활주로
9d823bdf,공항
84329727,정지로
789785f4,폐쇄 유도로
a3d481c1,유도로
3968d2db,유도로
ea9f8270,공항 터미널
427a5eaf,물
e793cd6c,공항
392e6fc7,Airy
f777b5e0,Alamo 렌탈
cbf0f079,알람:
13ccf6a0,알림 정보:
69cf7665,알림:
a5c592c5,어린이 보호구역
f14f2e23,알림:
c12da010,모든 카테고리
45cedbb6,모든 데이터베이스
728d154b,기타
3fb1e21d,골목
f4d30a53,Almaty
ec94a4ba,고도(AGL)
7bc093a6,경도/위도
96c0be27,경도/위도
bdab353d,경도/위도
beab36d0,경도/위도
248a23f0,교호섬광
e2e54f8c,교호군섬광
65b99c30,교호명암등
cd9da5bd,교호등
cd41f341,보정 실패
9433288d,해발 고도
7532f7c0,해발 고도
d2495076,해발 고도
cd494897,해발 고도
5b42fa7f,호박색
bf912621,주위 압력
a89101ec,주위 압력
bd7fd9da,주위 압력
a07fac33,주위 압력
208bc209,아메리칸 익스프레스
e64ef80a,아메리카식
b83298af,놀이공원
3923f738,놀이공원/테마파크
878eed77,무산소 한계 초과
39c1eff1,무산소 부족
1bb82cf5,무산소
204f9b98,무산소 훈련 효과
2f4fb335,무산소 효과
6243378b,무산소 훈련 효과
6f434c02,무산소 훈련 효과
207ef9f4,정박지역
ccdd6af3,정박
a7973088,정박
99f11d26,정박금지
e08a6025,정박 제한
5dfd5263,"정박,어로금지"
9258c126,동물보호소
51457c60,야생동물 출몰지역
bd7244d6,모든 수영법
d173b829,의류
a9398a57,4월
55673130,아치
a754ecba,유적지
341a759b,괜찮으세요?
a2097ec5,지역
28a7cf37,경기장
655e50b6,아르헨티나식
52bc4bb0,건천
af307e37,인공어초
5fd88b54,상승
13356fc8,아시아식
52dd34c2,DogTrack에 연결되었습니다.
f9c82126,DogTrack과의 연결이 끊어졌습니다.
146d41fa,지원을 활성화하려면 3번의 진동이 느껴질 때까지 왼쪽 상단 버튼을 길게 누르세요.
46152079,이제 지원 및 사고 감지가 활성화되었습니다.
56887a0d,명소
51504cf2,명소
6397c1fe,Auckland
375e5ff6,8월
8360863d,Adelaide
187c221c,Brisbane
2cfc6425,Perth
99d96efa,Tasmania
49e447ab,호주 그린 존
d784d32f,Australian National
15ff8698,호주식
11e25fac,Austrian Grid
8e522f23,오스트리아식
52147886,자동 보정
9e80e8d9,자동차 센터
c30d5363,자동차 딜러
cf4a2bc1,중고 자동차 딜러
877f8698,자동차대리점
3ca0e294,주유소
d02923c6,자동차부품
387b6232,자동차 렌탈
fdb0db1c,자동차 수리점
04cf40c9,자동차 수리
dc9b154f,자동
25fda985,자동 저장
9036101b,자동차서비스
f59b3c80,자동차서비스
2064f053,DIP로 자동항법
1658e10a,자동차동호회
bcc2517d,평균 상승
bdc25310,평균 상승
7ad942e6,평균 상승
95d96d67,평균 상승
4ee95065,평균 하강
5fe96b28,평균 하강
4cd8041e,평균 하강
57d8156f,평균 하강
d55080c2,평균 활공길이
c8506c4b,평균 활공길이
773a2679,평균 활공길이
903a4dd4,평균 활공길이
35c0ff8b,평균 접지시간
7602e9e8,평균 접지시간
37f5bc5b,평균 접지시간
24f59e72,평균 접지시간
a388d503,평균 여유심박%
a088d04a,평균 여유심박%
816cc900,평균 여유심박%
a06cf9cd,평균 여유심박%
7b523a85,평균 최대심박%
8c525548,평균최대심박%
7940ee3e,평균 최대심박%
8440ff8f,평균 최대심박%
49d3b30a,평균 심박
4cd3b7c3,평균 심박
4be4ff51,평균 심박수
54e50d7c,평균 심박
1c6cdcc0,평균 밸런스
3b6d0d8d,평균 밸런스
3e8755c3,평균 밸런스
3b87510a,평균 밸런스
c80d232e,랩 밸런스
b30d021f,랩 밸런스
ca1e6f75,랩 밸런스
bb1e57d8,랩 밸런스
739b2bd9,최근랩 밸런스
8c9b5334,최종 랩 밸런스
51b0bca2,최종 랩 밸런스
44b0a82b,최종 랩 밸런스
6ee1097c,최근 랩 파워
65e0fb51,최종 랩 파워
b0d4a56f,최근랩 파워
a5d4941e,최근랩 파워
a12028f5,평균 파워
92201158,평균 파워
9f0edcae,평균 파워
8a0ebb9f,평균 파워
4f941cd8,평균 보폭
5e943475,평균 보폭
9187b8cb,평균 보폭
9e87cd42,평균 보폭
ffd1ddae,평균 길이당 스트로크 횟수
ead1bc9f,길이당 스트로크
01e329f5,평균 길이당 스트로크 횟수
f2e31258,평균 길이당 스트로크 횟수
96da51ed,평균 SWOLF
77da2120,평균 SWOLF
54efb056,평균 SWOLF
4fefa877,평균 SWOLF
7aeb0896,평균 수직진폭
75eb00b7,평균수직진폭
bcd4172d,평균 수직진폭
9dd3e660,평균 수직진폭
73cd6452,평균 진폭율
86cd823b,평균 진폭율
95b7d389,평균 진폭율
8eb7c884,평균 진폭율
dcd43a7b,Avis 공항
25466627,Avis 공항외
6ddada0b,>
0cd99fb3,해도상 암초
1bd5d8f5,방위각 중심선
4be4a6ba,자동
659e868f,수동
f053963b,%1의 백업 파일이 이 장치에서 지원하지 않는 방식으로 암호화되었습니다. 이 장치가 최신 소프트웨어로 업데이트되어 있는지 확인한 후 다시 시도하세요.
e6146437,"%1에서 백업을 적용할 준비가 되어, %2이(가) 생성되었습니다."
9c870c95,호환되지 않는 백업
5ca11c4b,추가 백업 파일이 백그라운드에서 계속 다운로드되며 자동으로 적용됩니다. 휴대폰 연결을 유지하면서 가까이에 두세요.
fe889ac6,추가 콘텐츠 대기 중
0949b8da,백업 발견됨
7fc02056,상승
44392b3c,평균 VSPD
1.14E+66,등반 %1
e5812bd3,상승
46a05a02,하강
04cb1222,하강 %1
da5706fa,하강
8265abaf,거리
7bb2cafe,최근 상승
df7e5f0d,최근 하강
5f820a5e,최고 속도
c597e718,클라이밍
64c5944b,하강
0bd4439f,최종
273d684a,언덕 없음
7b933871,하강 없음
476dc7ca,활강 %1
dae3d9cd,시간
28461955,VSPD
cb30f727,일부 앱을 복원할 수 없었습니다.
9c3694e9,백업 설정이 이 장치의 지원 버전보다 최신입니다.
8419a182,"백업 파일을 구문 분석하는 동안 문제가 발생하여, 일부 설정이 올바르게 복원되지 않을 수 있습니다."
f6d0abdb,%1의 백업 데이터가 손상된 것으로 보이며 적용되지 않았습니다.
c2e5437d,일부 설정의 백업 데이터가 손상된 것으로 보이며 적용되지 않았습니다.
ddb64f7c,%1의 일부 백업 데이터를 읽는 동안 문제가 발생했습니다.
142ee38c,일부 요약 정보를 가져올 수 없습니다.
c138ecff,앱 및 위젯 목록
defa9b7e,백업 설정
dfd5ffe9,파워 모드
c2a5737e,추가 설정
0b5e67eb,Alpha 핸드헬드 설정
412c9bc9,탐험 앱 설정
ff7c86fa,멀티스포츠 활동 설정
da7a1bba,일반 설정
d8606277,활동 설정
dd87c519,위치 형식
4c0847bc,골프 설정
cc9e58f3,트랙 러닝 보정
b3eae0a3,주식 기호
e09033cd,테스트
05bf43d7,테스트
d8423fa6,타이머
037c91f0,"%1을(를) 적용할 수 없습니다. 이는 이 장치에서 지원되지 않을 수 있으며, 소프트웨어를 업데이트하셔야 할 수 있습니다."
ced3f9e8,"백업의 일부 설정이 이 장치에서 지원되지 않을 수 있으며, 소프트웨어를 업데이트하셔야 할 수 있습니다."
8ae4c75c,일부 %1 데이터가 이 장치의 지원 버전보다 최신입니다. 업데이트를 확인한 후 다시 시도하세요.
3d7d1eec,일부 백업 데이터가 이 장치의 지원 버전보다 최신입니다. 업데이트를 확인한 후 다시 시도하세요.
f4a86ae7,이 장치에서 %1 파일을 지원하지 않습니다.
311e7645,매우 낮음
5004ffd9,높음
96af6af6,낮음
4a8cb861,배터리 세이버
24408c8b,매우 낮음
75068028,일
d526a4b8,h
2b1d1b42,재킷  모드
13ad3693,배터리 부족 알림
a12076ec,낮음
67159c02,최대 배터리
9631c326,분
c1c63749,보통
31c5c662,%1 활성화됨
c69cc9b5,사용에 따라 달라짐
4da7b9e2,완충
1fedab12,OK
2dd5cc91,%1 일
6dfd49ff,배터리 세이버 활성화?
9fc51228,%1h GPS
44d3ec2d,%1 시간
f93db338,배터리 부족
509f8977,음악
6da245ed,1일
7d6b4969,확인
633173b6,업데이트되었습니다.
1f8935dc,새 자동 환경을 사용하시겠습니까?
8a00eb36,데이터 화면이 업데이트되었으며 자동 전환 추적이 활성화됩니다.
8a31833c,백컨트리 스키 및 스노보드 활동에 새 자동 전환 추적 환경 및 데이터 화면을 사용하시겠습니까?
f05b49b9,'설정 > 모드 추적 > 자동'으로 이동하여 새 모드를 사용할 수 있습니다.
3c55e35d,평균 케이던스
3d55e4f0,평균 케이던스
7a6c0b46,평균 케이던스
956c35c7,평균 케이던스
64c41905,연결되지 않음
5c314c1c,케이던스
53313df1,케이던스
1e241e8f,케이던스
13240d3e,케이던스
10e2695e,전조등 - %1
2b033f12,기타 - %1
455f1866,신호 - %1
f071ba1e,미등 - %1
67bd26d6,랩 케이던스
62bd1ef7,랩케이던스
a9a7c86d,랩 케이던스
8aa797a0,랩 케이던스
2e35a323,최근랩 케이던스
2b359e6a,최종랩 케이던스
0c1b2a20,최종 랩 케이던스
2b1b5aed,최종 랩 케이던스
933b7612,구간 페이스
a63b93fb,구간 페이스
b5245249,구간 페이스
ae244744,구간 페이스
774d11ce,구간 속도
624cf0bf,구간 속도
795e5e15,구간 속도
6a5e4678,구간 속도
5984b987,BMW 자동차딜러
3eb57d30,BMW Mini
66673dcb,BMW Motorrad
171d7947,충전됨
6e5ae884,소진됨
34d8a544,측정 중
fd9f547d,자정 이후
2ccda936,자정부터의 바디 배터리
5701ac2f,호흡과 호흡 사이에 숨을 잠깐 멈추세요.
02ad7a4e,호흡 사이에 숨을 참으세요. 어지럽거나 불편하시면 중단하세요.
6baee606,숨을 들이마심
21704465,숨을 내쉬세요
f3edacab,호흡법
0eb8c2f3,호흡에 집중하고 마음을 차분히 가라앉히세요.
af2f8b5e,기법 변경
b0812329,심호흡
2b5f2311,코를 통해 호흡을 깊게 들이마시고 입을 통하여 소리가 들리도록 내뱉으세요.
aa44c4cc,플랜에 따라 스트레스를 완화하고 수면을 준비하세요.
12d986ff,포폴드 호흡 플랜은 몸을 이완시키고 정신을 집중시켜 줍니다.
bc37c7d1,점점 호흡을 천천히 하세요. 어지럽거나 불편함을 느끼면 중지하세요.
bc218000,잘 하셨습니다! 최상의 성과를 얻으려면 정기적으로 연습하세요.
9f7f32fb,숨 참기
074dd49a,일정한 간격으로 호흡하여 고요한 각성 상태를 달성하세요.
31527a71,%1 분
41166756,%1 단계
34a095ca,손을 복부에 올리세요. 코를 통해 호흡을 들이마시고 뱉으세요.
21283889,손을 가슴에 올리세요. 코를 통해 호흡을 들이마시고 뱉으세요.
874dbe67,빠른 포폴드 호흡 플랜은 몸을 이완시키고 정신을 집중시켜 줍니다.
1853f467,준비 완료
f43a78f4,이완 및 집중
86c68fbd,이완 및 집중 (짧음)
f5d200b5,몸을 일으켜 앉거나 눕습니다. 매끄럽고 균일한 호흡에 집중하세요.
047a8b10,똑바로 서서 혀를 입천장에 살짝 가져다 대세요.
f8f2fe5f,감사하는 마음이 느껴지는 무엇인가를 생각하세요.
ca19ad19,평온
0b997bc3,진동 알림
d56b0a27,우리는 들숨/호흡참기/날숨의 시간을 각각 4/7/8 초로 늦출 것입니다.
b59af21b,B(적색 - 우현)
9a088be6,아동 용품점
91d0ecfb,배영
e3bfb9ed,배영
616e6d26,지금 백업하기
932f6ca2,자동 백업
910621b5,뒤로 돌림
519ffd84,베이글/도넛
f17afc39,어로장비
83119c64,Baker Island
1d458d91,균형
4af39371,균형
10ddaa17,발칸반도식
c3355f16,Bangkok
697e8bbd,은행/ATM
b8ec382a,은행
877c4b0c,바/나이트클럽
230dd479,바/펍
c4d500b3,바베큐
3437cce3,바벨 백 스쿼트
e1c9c891,바벨 벤치 프레스
78b8881a,바벨 데드리프트
d239e5bb,바벨 들기(Barbell Row)
61d31a5c,bpm
9348d053,구성도
ecf353e3,장애물
a89979ff,바 및 펍
e0d82ea9,분지
0787bc58,배터리 잔량
1687d3f5,배터리 잔량
497b584b,배터리 시간
567b6cc2,배터리 시간
c0e77eed,배터리 잔량
a1e74e20,배터리 잔량
7efcdd56,배터리 잔량(%)
79fcd577,배터리 퍼센티지
1230c1bc,만
f9406f3b,해변
ae5dcfd4,비이컨
2e5e47ea,동단비이컨
039ebce0,북단비이컨
8ff5d416,남단비이컨
9c1b1d54,서단비이컨
9a468289,방위각
93467784,방위각
785c1352,방위각
8b5c313b,방위각
0b53e5e4,상대방위
60745edf,뷰티샵
0c3bba52,비앤비
b14ad153,민박
52a6a460,벨기에식
f3694645,벨
f5f62c4d,목표 이하
34c66ada,단구
ced4cdf3,만곡
5f4f2362,벵갈식
fc44746d,Bessel 1841
c3572035,Bessel 1841 (Namibia)
02e7a8df,최고\n파워!
a6fe9d92,자전거 주차장
6031f1aa,자전거가게
8a67ebf1,자전거
82f5d059,BirdsEye 이미지
2e953601,작은 술집
6aa3b3ef,흑-녹
07e2683a,흑-주황
89ece0c7,흑-적-흑
5b6bc623,흑-적
e8878aa3,흑
d0b15071,흑-백-흑
55030f4d,흑-백
efa65ed8,흑-황-흑
e2967cec,흑-황
303b3494,청색
cfbef726,청-백
21e7578d,Bluetooth MAC 주소
460f0467,보트/모터렌탈
278e3853,보트램프
b75b7d6b,보트 서비스
4b640bcc,늪
3a29a71d,보헤미아식
1829831f,책방
ac739556,서점/대여점
4471887f,국경
fe29b6a1,해도경계
a34d883c,Borneo RSO
262491f0,양측
b63572f2,바닥 상태
26029c34,볼링센터
932c6878,볼링
57ce00b4,Brazil
dde9a067,브라질식
14b9da1a,아침 식사 및 브런치
f7457255,평영
12e8d417,평영
21d90a71,교량
8bf986f4,영국식
019bfbeb,British Grid
034958b2,브루나이식
e775f085,Budget 공항
8752f2f1,Budget 공항외
1551f71d,Buell 딜러
bc1fe010,건물
4bb1ab0d,부표
90b243fb,동단부표
2ca41a0f,북단부표
c0a00de5,남단부표
11e65a25,서단부표
ef280fae,햄버거
7.84E+09,버스정류장
8c49823a,버스정류장
2070820e,비지니스 시설
f5460de6,비즈니스
2b54929e,비지니스 서비스
4b2ba3c8,케이던스
3a2b8905,케이던스
8d1f3fbb,케이던스 게이지
7a1f21d2,케이던스 게이지
e08f88c7,종일
07ef763d,일정 없음
9fe71a65,오늘
c3d3483d,세부 정보 없음
76d25224,앞으로 24시간 동안 일정이 없습니다.
2c34814a,오늘은 더 이상 일정이 없습니다!
691f4765,지금
b54d6d94,내일
1c980ec2,워크아웃
11facff4,COG
4a1ed8a1,보정 중…
5f75b13a,보정 성공
f04c5aef,GPS 신호가 꺼졌습니다. 트랙 지원 보정을 다시 시도하세요.
1dbf376c,%1\nmy Garmin에서 발송
0eef6c58,k
b491c617,항목%1 선택
4a013c6e,%1이(가) 장치에 설치되었습니다.
38265cd7,Garmin Connect IQ
fc0e9927,계속하려면 장치와 Garmin Connect Mobile을 페어링해야 합니다.
9597d7d4,%1 사용을 위해 결제해야 합니다. 자세한 내용은 앱 개발자에게 문의하세요.
96a9dc24,취소
c7d78320,내 카드
80b3a707,지금\n%1에 구매하시겠습니까?
794b2c42,지금 무료로 다운로드하시겠습니까?
e9729ba2,%1 결제를\n확인하세요.
7e11fb31,Garmin 지갑 설정
5dbff9ec,결제에 지갑 설정 필요
61243ab2,카드 변경
2e57dbe2,이 카드 사용
30dea03f,주문을 처리하는 동안 오류가 발생했습니다.
9e4e7812,주문 실패
daf340af,주문 실패
9c6cb01f,다시 시도
90eb3560,앱이 설치되면 알려 드리겠습니다.
d464d917,주문 마무리 중
d9683153,유효하지 않은 프로모션 코드입니다. 다시 입력하시겠습니까?
4f26d60d,휴대폰에서 Garmin Connect 앱으로 이동하여 Garmin 지갑을 설정하세요.
41b9c714,Garmin 지갑 정보 가져오는 중
6a4dfd3a,주문 처리 중
308c7e7b,프로모션 코드 확인 중
f38de65a,프로모 코드가 확인되었습니다.
fc00d9f1,성공!
22372add,%1을(를) 평가하시겠습니까? 평점은 앱을 더욱 개선하는 데 도움이 됩니다.
4c6983ea,%1 평가
d2d72c85,앱을 평가해주셔서 감사합니다. 추가 피드백을 남기시겠습니까?
b29766e9,화면 지움
240d7238,상승
d4547c1d,평균 심박
a97af57e,평균
908b4e07,클라임
c61b73e3,현재 루트
5d458da0,낙하
ac8aef7d,Brazilian
5fd5625c,British Adjectival
270c1148,British Technical
c03f7077,Dankyu
4abc607f,Ewbank
4473f178,Font
7bc1d0f5,French
e3c7d3d6,Saxon
878fa9dd,UIAA
e4643370,V-Scale
35fe7b51,YDS +/-
fd3807e9,YDS
bc36540a,최근 루트
f2b4d8ba,휴식
d4b4a980,휴식
ec493701,전체 루트
ead4c352,평균%1
c92cf9c1,오르막 %1
c9a2afd4,하강 %1
dfe88d8e,남은 거리
bed475d3,지정 거리
1dd5ff72,로드 중
0f6e0b64,오르막 없음
20481b92,오르막 없음
e02d58d3,총 오르막
402a4f1a,총 하강
82d76cc7,%1개 타이머 작동
ef4472c5,알람 추가
3f82d61c,대체 시간대 추가
b66dc3b1,타이머 추가
db847d59,꺼짐
f30f8c7d,켜짐
bca1d6ae,%1개 켜진 알람
90045bf7,알람 편집
7a6ebc54,시간대 편집
640730c7,타이머 편집
b528d138,알람
9bd54305,시계
4e21ad01,스톱워치
6ca82b97,대체 시간대
465c268c,타이머
5150cfa1,켜진 알람 없음
7c13e3c1,켜진 타이머 없음
6bf5a0e1,작동중인 타이머 1개
6bd42c1a,켜진 알림 1개
3ab4b635,퀵 타이머
b2dae721,반복 끄기
8570df64,1개 시간대
5c4a795f,%1개 시간대
5c85e9d7,중지됨
9024aba5,클럽 통계
bbbdcff9,페어웨이 적중
1f64f180,왼쪽
2e16b351,최대
838b9ef0,미스샷
320db764,기록된 샷 없음
376b789d,오른쪽
aec5ddc3,일반
9abc679f,할당되지 않은 클럽 센서는 재할당하거나 제거해야 합니다.
e793bd8b,하나 이상의 클럽 센서가 배정되지 않았습니다.
5153fbe0,이제 채점 및 통계 추적이 활성화됩니다.
dd76c4aa,고급 통계를 위해 스코어카드를 Garmin Golf 앱에 업로드합니다.
5ca92273,운동 부하
79a9501a,운동 부하
3a8ea970,운동 부하
398ea7dd,운동 부하
99a7a750,분당 호흡수
98a7a5bd,분당 호흡수
3bc2e9d3,분당호흡수
58c3177a,분당 호흡수
64fd03ec,반복 횟수
d7358092,세트 시간
58072fa2,CNG
425f259a,COG
255ef7f3,COG
4.47E+06,COG
2d704dac,COG
18860d5a,나침반 보정
71c750d5,보정
8c7c556f,보정 완료
34a60d3d,보정 실패
be686c83,시계를 8자 모양으로 돌리세요
731a2152,확인
5a4778d2,다시 시도
2031690c,시작
fecd160d,이 백업을 삭제하시겠습니까?
94127d63,기본 설정을 복원하고 이 백업을 적용하시겠습니까?
631c3574,이 백업을 적용하시겠습니까?
d33f73d9,현재 스코어 카드 저장?
f9880bfc,데이터 전송 대기 중
0c50a3e5,연락처
47e1ef60,범주 1
dae594a9,범주 2
ee405fd6,범주 3
a98ab607,범주 4
9c62bb67,위험
25ab3117,응급실
37069db8,음식점
6cdc7b06,HC 오르막
9b09580e,좌측 분기
34fe6126,중앙 분기
fc0c52df,우측 분기
1cc90e0f,구간 도착점
b12b9a62,구간 시작점
e2f7a9fc,급한 좌회전
b08ec25d,급한 우회전
d39c8fbd,조금 좌회전
ddb2571e,조금 우회전
75eaf568,스프린트
fd7161be,직진
2fcbc87b,정상
94b82be9,좌회전
ece1a292,우회전
9b210643,U-턴
070612cb,계곡
