,key,KR,NL
50,89ca78f2,현재 시각,
51,9dcdb37d,활성 어드벤처 레이스,
52,b9bea68c,알림,
53,157585da,고도 조정,
54,ad3bdad7,취침 타이머 종료,
55,095f35a1,숨겨진 콘텐츠,
56,607401e3,레이스 종료 시 확인하기 위해 어드벤처 레이스의 시작 시각이 기록됩니다. 활동을 중지하지 않으면 이 모드에서 나갈 수 없습니다.\n\nGPS 및 내비게이션은 기록되지만 볼 수 없습니다.,
57,d49554da,랩,
58,dbc9b122,취침 타이머,
59,4314d5f3,취침 타이머,
60,cf2b9fd7,활동 중지,
61,3378ab76,사용자 지정,
62,480f0467,수분 보충,
63,330725c3,음식 섭취,
64,c15f52b1,집으로,
65,c756b8c4,되돌아가기,
66,174cf381,상승,
67,5b629086,케이던스,
68,8deb72bf,칼로리,
69,e10bf0bb,하강,
70,056eeba0,거리,
71,778825fc,심박수,
72,9ab69283,스트로크 율,
73,7bde0928,페이스,
74,4ed0adf3,페이스,
75,9e3339fc,파워,
76,a13a9e24,케이던스,
77,069e1888,러닝,
78,9574191b,스트로크 율,
79,3f67dcd2,속도,
80,960de2de,시간,
81,5f075262,걷기,
82,637c9f69,고도계,
83,97c49338,"적응은 2,800피트에서 13,100피트 사이의 고도에서 하루 이상 활동하면 활성화됩니다.",
84,68aa3dc3,"적응은 850미터에서 4,000미터 사이의 고도에서 하루 이상 활동하면 활성화됩니다.",
85,c92eaabe,평균 PULSE OX,
86,34b7a9cb,평균호흡수,
87,eac7bd3a,평균 안정시 심박수,
88,8b67706a,%2에 %1% 적응,
89,86b24f5c,현재 고도: %1,
90,cda2c617,현재 고도 %1피트에 완전히 적응하셨습니다.,
91,8f6a3e3a,현재 고도 %1미터에 완전히 적응하셨습니다.,
92,4ac0d1ba,비활성화,
93,45381407,이제 더 낮은 고도에 있으므로 적응도에 따라 향상을 경험하실 수 있습니다.,
94,917b80fd,현재 고도 %2피트에 %1% 적응하셨습니다.,
95,bce31abc,현재 고도 %2미터에 %1% 적응하셨습니다.,
96,9241e53c,고도 적응,
97,f202eab3,랩 상승,
98,0f03185a,랩 상승,
99,cfe6deb0,랩 상승,
100,cee6dd1d,랩 상승,
101,55ab11ff,랩 하강,
102,6aab330e,랩 하강,
103,13b7760c,랩 하강,
104,2ab79a41,랩 하강,
105,c4fd08ac,최종랩 상승,
106,dbfd2ce1,최종랩 상승,
107,86f16e1f,최근랩 상승,
108,9bf18f2e,최근랩 상승,
109,ad9f98a6,최종랩 하강,
110,c89fc327,최종랩 하강,
111,ef8a3a3d,최근랩 하강,
112,f08a3bd0,최근랩 하강,
113,79f89dc2,최근 동작 상승,
114,6cf8894b,최근 동작 상승,
115,1be24379,최근 동작 상승,
116,34e26ad4,최근 동작 상승,
117,65841788,최근 동작 하강,
118,5483fcc5,최근 동작 하강,
119,a777b37b,최근 동작 하강,
120,94779592,최근 동작 하강,
121,fe2a0e13,동작 상승,
122,1b2a3bba,동작 상승,
123,5c0ecb90,동작 상승,
124,5b0ec9fd,동작 상승,
125,1f60dc5f,동작 하강,
126,3460fd6e,동작 하강,
127,5d6e09ec,동작 하강,
128,746e2e21,동작 하강,
129,c95ee85b,없음,
130,a72e98dc,총 상승,
131,9e2e8ab1,상승,
132,6922fe4f,총 상승,
133,5e22ecfe,총 상승,
134,b048dd76,총 하강,
135,ab48d597,하강,
136,7232b58d,총 하강,
137,533284c0,총 하강,
138,7d8f0136,AM,
139,a07de5e1,배터리 수명 늘리기,
140,5fc17280,추가,
141,c1168b07,운동 복사,
142,74ad137d,완료,
143,fefa7c61,즐겨찾기,
144,7440640e,즐겨찾기,
145,de029b5b,운동 복사,
146,b595455c,장치에서 삭제,
147,895f4523,즐겨찾기에서 제거,
148,20c2eb1d,목록에서 제거,
149,799e81c2,즐겨찾기에 추가,
150,03055e49,활동 목록,
151,7255c42e,내 주변,
152,5d70b910,출발점으로,
153,bba453a4,호흡법,
154,12918415,파워 보정,
155,2e7ae304,보정,
156,44d450a0,Connect IQ 항목,
157,2dc98396,목적지 좌표,
158,908daa88,코스,
159,a3f495f4,임계 수영 속도,
160,eccb70a6,,FTP-test
161,a45d3161,XERO 위치,
162,870fbca4,인터벌,
163,d20a0021,최근 저장한 MOB,
164,6b2d108c,POI,
165,315ba366,음악 제어,
166,3c353272,메트로놈 음소거,
167,5d208249,페이스 알림 음소거,
168,3d08fc06,내비게이션,
169,239ec84c,내비게이션 설정,
170,1aebd719,주변 지인들,
171,d8803447,PacePro 계획,
172,2a05c97d,페이스 알림,
173,9fe88ac7,,Ping de startlijn
174,b83c97cd,파워 모드,
175,96874c93,활동 기록과 경기하기,
176,a9b134d7,레가타 타임,
177,5cf77198,왕복 코스,
178,0e7daf8b,위치 저장,
179,9212dec6,저장 위치,
180,a4585fee,구간 정보,
181,bd30075f,바퀴 크기 설정,
182,9fb0a464,목표 설정,
183,1bce15ba,%1 설정,
184,bb583577,Sight 'N Go,
185,8c963efd,스마트 트레이너 옵션,
186,d7e7f292,코스 종료,
187,1c87520e,LiveTrack 종료,
188,fa7e34bd,안내 종료,
189,849d6b11,PacePro 종료,
190,9fb1583e,구간 종료,
191,12e5ca3a,택 앵글,
192,9c7ab618,,Drempeltest
193,60eca9cf,훈련 일정,
194,5eb92a26,트레이닝,
195,2f11f63e,진풍 방향,
196,b0f987fd,턴바이턴,
197,1f28a8c5,메트로놈 음소거,
198,bff61dfb,맵 사용,
199,36545bed,VIRB,
200,e6989f4a,PacePro 분할 보기,
201,5dba7d76,활강 보기,
202,f5092334,워크아웃,
203,1b9dd607,팬/줌,
204,2f39f40d,4월,
205,56d8b641,4월,
206,761a2a4e,4월,
207,86a9c5ca,지점 선택,
208,063cf0e0,무인지급기,
209,d84595dc,축하합니다! 계획 완료.,
210,06703d4f,계획 없음,
211,9829ec30,워크아웃 없음,
212,dfc8fe5d,매우 좋음,
213,bb6c7c26,굿잡,
214,b542758e,더 힘내세요!,
215,c7e70f58,Garmin Connect을 사용하여 Garmin 트레이너 훈련계획을 설치하세요.,
216,d39f1eb7,Garmin Connect Mobile과 동기화하여 다음 워크아웃 얻으세요.,
217,134ea0c4,휴식일,
218,b459dbf0,다음 운동을 위해 동기화하세요.,
219,d6c390ee,오늘,
220,a2b9bc44,내일,
221,9073dae7,%1주째,
222,32791883,워크아웃 완료,
223,6b8cd407,어제,
224,5ce7bccf,8월,
225,b1097047,8월,
226,689fa444,8월,
227,bcc1f4a2,활동을 시작할 때 해발을 확인하라는 메시지가 표시됩니다.,
228,fd5d026a,야간,
229,ee0a228a,평균,
230,a95f498f,맵 포인트 주변,
231,fbdf844c,A (녹색-우현),
232,77cb5725,비정상적인 심박수,
233,be50c82f,설정치보다 높은 심박수 감지됨.,
234,f3e08deb,설정치보다 낮은 심박수 감지됨.,
235,c36f4181,목표 이상,
236,176535e4,대학 건물,
237,608a2e8a,접근 제한,
238,a786cda3,,ACTIEF: %1
239,25c936b6,활성 칼로리,
240,20c92ed7,활성 칼로리,
241,4f446a53,,ACTIEVE CAL.
242,e7b30ecd,활성 칼로리,
243,c8b2de00,활성 칼로리,
244,138dc5c8,급성 부하,
245,15039bab,추가,
246,f16d9998,어드레스,
247,a5b04c8f,행정 건물,
248,af16a1c1,항공사진,
249,84739c9e,유산소 효과,
250,b0da91a8,아프리카식,
251,64cf6317,항공운송,
252,9f13e3b8,램프,
253,5d99911d,비포장,
254,a6def20d,항공기 도로,
255,187bbd74,비이컨,
256,c29b6398,블라스트패드,
257,40cfa630,건물,
258,366cd324,개방구역,
259,134af506,위치,
260,4eae6ae1,활주로 이설 시단,
261,5a6c6335,공항구역,
262,fe996627,공항입구,
263,1b943999,헬리패드,
264,8ab4491b,핫스팟,
265,a61cfc77,LAHSO,
266,be602829,과주구역,
267,7706407d,폐쇄활주로,
268,46ad8fe8,공사 중,
269,4a565e3c,활주로,
270,511ff58c,활주로 말단,
271,1b2d19ec,비포장 활주로,
272,9d823bdf,공항,
273,84329727,정지로,
274,789785f4,폐쇄 유도로,
275,a3d481c1,유도로,
276,3968d2db,유도로,
277,ea9f8270,공항 터미널,
278,427a5eaf,물,
279,e793cd6c,공항,
280,392e6fc7,Airy,
281,f777b5e0,Alamo 렌탈,
282,cbf0f079,알람:,
283,13ccf6a0,알림 정보:,
284,69cf7665,알림:,
285,a5c592c5,어린이 보호구역,
286,f14f2e23,알림:,
287,c12da010,모든 카테고리,
288,45cedbb6,모든 데이터베이스,
289,728d154b,기타,
290,3fb1e21d,골목,
291,f4d30a53,,Almaty
292,ec94a4ba,고도(AGL),
293,7bc093a6,경도/위도,
294,96c0be27,경도/위도,
295,bdab353d,경도/위도,
296,beab36d0,경도/위도,
297,248a23f0,교호섬광,
298,e2e54f8c,교호군섬광,
299,65b99c30,교호명암등,
300,cd9da5bd,교호등,
301,cd41f341,보정 실패,
302,9433288d,해발 고도,
303,7532f7c0,해발 고도,
304,d2495076,해발 고도,
305,cd494897,해발 고도,
306,5b42fa7f,호박색,
307,bf912621,주위 압력,
308,a89101ec,주위 압력,
309,bd7fd9da,주위 압력,
310,a07fac33,주위 압력,
311,208bc209,아메리칸 익스프레스,
312,e64ef80a,아메리카식,
313,b83298af,놀이공원,
314,3923f738,놀이공원/테마파크,
315,878eed77,무산소 한계 초과,
316,39c1eff1,무산소 부족,
317,1bb82cf5,무산소,
318,204f9b98,무산소 훈련 효과,
319,2f4fb335,무산소 효과,
320,6243378b,무산소 훈련 효과,
321,6f434c02,무산소 훈련 효과,
322,207ef9f4,정박지역,
323,ccdd6af3,정박,
324,a7973088,정박,
325,99f11d26,정박금지,
326,e08a6025,정박 제한,
327,5dfd5263,"정박,어로금지",
328,9258c126,동물보호소,
329,51457c60,야생동물 출몰지역,
330,bd7244d6,모든 수영법,
331,d173b829,의류,
332,a9398a57,4월,
333,55673130,아치,
334,a754ecba,유적지,
335,341a759b,괜찮으세요?,
336,a2097ec5,지역,
337,28a7cf37,경기장,
338,655e50b6,아르헨티나식,
339,52bc4bb0,건천,
340,af307e37,인공어초,
341,5fd88b54,상승,
342,13356fc8,아시아식,
343,52dd34c2,DogTrack에 연결되었습니다.,
344,f9c82126,DogTrack과의 연결이 끊어졌습니다.,
345,146d41fa,,"Om assistentie te activeren, houdt u de knop linksboven ingedrukt tot u 3 trillingen voelt."
346,46152079,,Assistentie en ongevaldetectie zijn nu ingeschakeld.
347,56887a0d,명소,
348,51504cf2,명소,
349,6397c1fe,,Auckland
350,375e5ff6,8월,
351,8360863d,,Adelaide
352,187c221c,,Brisbane
353,2cfc6425,,Perth
354,99d96efa,,Tasmanië
355,49e447ab,호주 그린 존,
356,d784d32f,Australian National,
357,15ff8698,호주식,
358,11e25fac,Austrian Grid,
359,8e522f23,오스트리아식,
360,52147886,자동 보정,
361,9e80e8d9,자동차 센터,
362,c30d5363,자동차 딜러,
363,cf4a2bc1,중고 자동차 딜러,
364,877f8698,자동차대리점,
365,3ca0e294,주유소,
366,d02923c6,자동차부품,
367,387b6232,자동차 렌탈,
368,fdb0db1c,자동차 수리점,
369,04cf40c9,자동차 수리,
370,dc9b154f,자동,
371,25fda985,자동 저장,
372,9036101b,자동차서비스,
373,f59b3c80,자동차서비스,
374,2064f053,DIP로 자동항법,
375,1658e10a,자동차동호회,
376,bcc2517d,평균 상승,
377,bdc25310,평균 상승,
378,7ad942e6,평균 상승,
379,95d96d67,평균 상승,
380,4ee95065,평균 하강,
381,5fe96b28,평균 하강,
382,4cd8041e,평균 하강,
383,57d8156f,평균 하강,
384,d55080c2,평균 활공길이,
385,c8506c4b,평균 활공길이,
386,773a2679,평균 활공길이,
387,903a4dd4,평균 활공길이,
388,35c0ff8b,평균 접지시간,
389,7602e9e8,평균 접지시간,
390,37f5bc5b,평균 접지시간,
391,24f59e72,평균 접지시간,
392,a388d503,평균 여유심박%,
393,a088d04a,평균 여유심박%,
394,816cc900,평균 여유심박%,
395,a06cf9cd,평균 여유심박%,
396,7b523a85,평균 최대심박%,
397,8c525548,평균최대심박%,
398,7940ee3e,평균 최대심박%,
399,8440ff8f,평균 최대심박%,
400,49d3b30a,평균 심박,
401,4cd3b7c3,평균 심박,
402,4be4ff51,평균 심박수,
403,54e50d7c,평균 심박,
404,1c6cdcc0,평균 밸런스,
405,3b6d0d8d,평균 밸런스,
406,3e8755c3,평균 밸런스,
407,3b87510a,평균 밸런스,
408,c80d232e,랩 밸런스,
409,b30d021f,랩 밸런스,
410,ca1e6f75,랩 밸런스,
411,bb1e57d8,랩 밸런스,
412,739b2bd9,최근랩 밸런스,
413,8c9b5334,최종 랩 밸런스,
414,51b0bca2,최종 랩 밸런스,
415,44b0a82b,최종 랩 밸런스,
416,6ee1097c,최근 랩 파워,
417,65e0fb51,최종 랩 파워,
418,b0d4a56f,최근랩 파워,
419,a5d4941e,최근랩 파워,
420,a12028f5,평균 파워,
421,92201158,평균 파워,
422,9f0edcae,평균 파워,
423,8a0ebb9f,평균 파워,
424,4f941cd8,평균 보폭,
425,5e943475,평균 보폭,
426,9187b8cb,평균 보폭,
427,9e87cd42,평균 보폭,
428,ffd1ddae,평균 길이당 스트로크 횟수,
429,ead1bc9f,길이당 스트로크,
430,01e329f5,평균 길이당 스트로크 횟수,
431,f2e31258,평균 길이당 스트로크 횟수,
432,96da51ed,평균 SWOLF,
433,77da2120,평균 SWOLF,
434,54efb056,평균 SWOLF,
435,4fefa877,평균 SWOLF,
436,7aeb0896,평균 수직진폭,
437,75eb00b7,평균수직진폭,
438,bcd4172d,평균 수직진폭,
439,9dd3e660,평균 수직진폭,
440,73cd6452,평균 진폭율,
441,86cd823b,평균 진폭율,
442,95b7d389,평균 진폭율,
443,8eb7c884,평균 진폭율,
444,dcd43a7b,Avis 공항,
445,25466627,Avis 공항외,
446,6ddada0b,>,
447,0cd99fb3,해도상 암초,
448,1bd5d8f5,방위각 중심선,
449,4be4a6ba,자동,
450,659e868f,수동,
451,f053963b,%1의 백업 파일이 이 장치에서 지원하지 않는 방식으로 암호화되었습니다. 이 장치가 최신 소프트웨어로 업데이트되어 있는지 확인한 후 다시 시도하세요.,
452,e6146437,"%1에서 백업을 적용할 준비가 되어, %2이(가) 생성되었습니다.",
453,9c870c95,호환되지 않는 백업,
454,5ca11c4b,추가 백업 파일이 백그라운드에서 계속 다운로드되며 자동으로 적용됩니다. 휴대폰 연결을 유지하면서 가까이에 두세요.,
455,fe889ac6,추가 콘텐츠 대기 중,
456,0949b8da,백업 발견됨,
457,7fc02056,상승,
458,44392b3c,평균 VSPD,
459,1143e063,등반 %1,
460,e5812bd3,상승,
461,46a05a02,하강,
462,04cb1222,하강 %1,
463,da5706fa,하강,
464,8265abaf,거리,
465,7bb2cafe,최근 상승,
466,df7e5f0d,최근 하강,
467,5f820a5e,최고 속도,
468,c597e718,클라이밍,
469,64c5944b,하강,
470,0bd4439f,최종,
471,273d684a,언덕 없음,
472,7b933871,하강 없음,
473,476dc7ca,활강 %1,
474,dae3d9cd,시간,
475,28461955,VSPD,
476,cb30f727,일부 앱을 복원할 수 없었습니다.,
477,9c3694e9,백업 설정이 이 장치의 지원 버전보다 최신입니다.,
478,8419a182,"백업 파일을 구문 분석하는 동안 문제가 발생하여, 일부 설정이 올바르게 복원되지 않을 수 있습니다.",
479,f6d0abdb,%1의 백업 데이터가 손상된 것으로 보이며 적용되지 않았습니다.,
480,c2e5437d,일부 설정의 백업 데이터가 손상된 것으로 보이며 적용되지 않았습니다.,
481,ddb64f7c,%1의 일부 백업 데이터를 읽는 동안 문제가 발생했습니다.,
482,142ee38c,일부 요약 정보를 가져올 수 없습니다.,
483,c138ecff,앱 및 위젯 목록,
484,defa9b7e,백업 설정,
485,dfd5ffe9,파워 모드,
486,c2a5737e,추가 설정,
487,0b5e67eb,Alpha 핸드헬드 설정,
488,412c9bc9,탐험 앱 설정,
489,ff7c86fa,멀티스포츠 활동 설정,
490,da7a1bba,일반 설정,
491,d8606277,활동 설정,
492,dd87c519,위치 형식,
493,4c0847bc,골프 설정,
494,cc9e58f3,트랙 러닝 보정,
495,b3eae0a3,주식 기호,
496,e09033cd,테스트,
497,05bf43d7,테스트,
498,d8423fa6,타이머,
499,037c91f0,"%1을(를) 적용할 수 없습니다. 이는 이 장치에서 지원되지 않을 수 있으며, 소프트웨어를 업데이트하셔야 할 수 있습니다.",
500,ced3f9e8,"백업의 일부 설정이 이 장치에서 지원되지 않을 수 있으며, 소프트웨어를 업데이트하셔야 할 수 있습니다.",
501,8ae4c75c,일부 %1 데이터가 이 장치의 지원 버전보다 최신입니다. 업데이트를 확인한 후 다시 시도하세요.,
502,3d7d1eec,일부 백업 데이터가 이 장치의 지원 버전보다 최신입니다. 업데이트를 확인한 후 다시 시도하세요.,
503,f4a86ae7,이 장치에서 %1 파일을 지원하지 않습니다.,
504,311e7645,매우 낮음,
505,5004ffd9,높음,
506,96af6af6,낮음,
507,4a8cb861,배터리 세이버,
508,24408c8b,매우 낮음,
509,75068028,일,
510,d526a4b8,h,
511,2b1d1b42,재킷  모드,
512,13ad3693,배터리 부족 알림,
513,a12076ec,낮음,
514,67159c02,최대 배터리,
515,9631c326,분,
516,c1c63749,보통,
517,31c5c662,%1 활성화됨,
518,c69cc9b5,사용에 따라 달라짐,
519,4da7b9e2,완충,
520,1fedab12,OK,
521,2dd5cc91,%1 일,
522,6dfd49ff,배터리 세이버 활성화?,
523,9fc51228,%1h GPS,
524,44d3ec2d,%1 시간,
525,f93db338,배터리 부족,
526,509f8977,음악,
527,6da245ed,1일,
528,7d6b4969,확인,
529,633173b6,업데이트되었습니다.,
530,1f8935dc,새 자동 환경을 사용하시겠습니까?,
531,8a00eb36,데이터 화면이 업데이트되었으며 자동 전환 추적이 활성화됩니다.,
532,8a31833c,백컨트리 스키 및 스노보드 활동에 새 자동 전환 추적 환경 및 데이터 화면을 사용하시겠습니까?,
533,f05b49b9,'설정 > 모드 추적 > 자동'으로 이동하여 새 모드를 사용할 수 있습니다.,
534,3c55e35d,평균 케이던스,
535,3d55e4f0,평균 케이던스,
536,7a6c0b46,평균 케이던스,
537,956c35c7,평균 케이던스,
538,64c41905,연결되지 않음,
539,5c314c1c,케이던스,
540,53313df1,케이던스,
541,1e241e8f,케이던스,
542,13240d3e,케이던스,
543,10e2695e,전조등 - %1,
544,2b033f12,기타 - %1,
545,455f1866,신호 - %1,
546,f071ba1e,미등 - %1,
547,67bd26d6,랩 케이던스,
548,62bd1ef7,랩케이던스,
549,a9a7c86d,랩 케이던스,
550,8aa797a0,랩 케이던스,
551,2e35a323,최근랩 케이던스,
552,2b359e6a,최종랩 케이던스,
553,0c1b2a20,최종 랩 케이던스,
554,2b1b5aed,최종 랩 케이던스,
555,933b7612,구간 페이스,
556,a63b93fb,구간 페이스,
557,b5245249,구간 페이스,
558,ae244744,구간 페이스,
559,774d11ce,구간 속도,
560,624cf0bf,구간 속도,
561,795e5e15,구간 속도,
562,6a5e4678,구간 속도,
563,5984b987,BMW 자동차딜러,
564,3eb57d30,BMW Mini,
565,66673dcb,BMW Motorrad,
566,171d7947,,Opgeladen
567,6e5ae884,,Leeg
568,34d8a544,측정 중,
569,fd9f547d,자정 이후,
570,2ccda936,,Body Battery sinds middernacht
571,5701ac2f,호흡과 호흡 사이에 숨을 잠깐 멈추세요.,
572,02ad7a4e,호흡 사이에 숨을 참으세요. 어지럽거나 불편하시면 중단하세요.,
573,6baee606,숨을 들이마심,
574,21704465,숨을 내쉬세요,
575,f3edacab,호흡법,
576,0eb8c2f3,호흡에 집중하고 마음을 차분히 가라앉히세요.,
577,af2f8b5e,기법 변경,
578,b0812329,심호흡,
579,2b5f2311,코를 통해 호흡을 깊게 들이마시고 입을 통하여 소리가 들리도록 내뱉으세요.,
580,aa44c4cc,플랜에 따라 스트레스를 완화하고 수면을 준비하세요.,
581,12d986ff,포폴드 호흡 플랜은 몸을 이완시키고 정신을 집중시켜 줍니다.,
582,bc37c7d1,점점 호흡을 천천히 하세요. 어지럽거나 불편함을 느끼면 중지하세요.,
583,bc218000,잘 하셨습니다! 최상의 성과를 얻으려면 정기적으로 연습하세요.,
584,9f7f32fb,숨 참기,
585,074dd49a,일정한 간격으로 호흡하여 고요한 각성 상태를 달성하세요.,
586,31527a71,%1 분,
587,41166756,%1 단계,
588,34a095ca,손을 복부에 올리세요. 코를 통해 호흡을 들이마시고 뱉으세요.,
589,21283889,손을 가슴에 올리세요. 코를 통해 호흡을 들이마시고 뱉으세요.,
590,874dbe67,빠른 포폴드 호흡 플랜은 몸을 이완시키고 정신을 집중시켜 줍니다.,
591,1853f467,준비 완료,
592,f43a78f4,이완 및 집중,
593,86c68fbd,이완 및 집중 (짧음),
594,f5d200b5,몸을 일으켜 앉거나 눕습니다. 매끄럽고 균일한 호흡에 집중하세요.,
595,047a8b10,똑바로 서서 혀를 입천장에 살짝 가져다 대세요.,
596,f8f2fe5f,감사하는 마음이 느껴지는 무엇인가를 생각하세요.,
597,ca19ad19,평온,
598,0b997bc3,진동 알림,
599,d56b0a27,우리는 들숨/호흡참기/날숨의 시간을 각각 4/7/8 초로 늦출 것입니다.,
600,b59af21b,B(적색 - 우현),
601,9a088be6,아동 용품점,
602,91d0ecfb,배영,
603,e3bfb9ed,배영,
604,616e6d26,,Nu back-up maken
605,932f6ca2,,Automatische back-ups
606,910621b5,뒤로 돌림,
607,519ffd84,베이글/도넛,
608,f17afc39,어로장비,
609,83119c64,,Baker Island
610,1d458d91,균형,
611,4af39371,균형,
612,10ddaa17,발칸반도식,
613,c3355f16,,Bangkok
614,697e8bbd,은행/ATM,
615,b8ec382a,은행,
616,877c4b0c,바/나이트클럽,
617,230dd479,바/펍,
618,c4d500b3,바베큐,
619,3437cce3,바벨 백 스쿼트,
620,e1c9c891,바벨 벤치 프레스,
621,78b8881a,바벨 데드리프트,
622,d239e5bb,바벨 들기(Barbell Row),
623,61d31a5c,bpm,
624,9348d053,구성도,
625,ecf353e3,장애물,
626,a89979ff,바 및 펍,
627,e0d82ea9,분지,
628,0787bc58,배터리 잔량,
629,1687d3f5,배터리 잔량,
630,497b584b,배터리 시간,
631,567b6cc2,배터리 시간,
632,c0e77eed,배터리 잔량,
633,a1e74e20,배터리 잔량,
634,7efcdd56,배터리 잔량(%),
635,79fcd577,배터리 퍼센티지,
636,1230c1bc,만,
637,f9406f3b,해변,
638,ae5dcfd4,비이컨,
639,2e5e47ea,동단비이컨,
640,039ebce0,북단비이컨,
641,8ff5d416,남단비이컨,
642,9c1b1d54,서단비이컨,
643,9a468289,방위각,
644,93467784,방위각,
645,785c1352,방위각,
646,8b5c313b,방위각,
647,0b53e5e4,상대방위,
648,60745edf,뷰티샵,
649,0c3bba52,비앤비,
650,b14ad153,민박,
651,52a6a460,벨기에식,
652,f3694645,벨,
653,f5f62c4d,목표 이하,
654,34c66ada,단구,
655,ced4cdf3,만곡,
656,5f4f2362,벵갈식,
657,fc44746d,Bessel 1841,
658,c3572035,Bessel 1841 (Namibia),
659,02e7a8df,최고\n파워!,
660,a6fe9d92,자전거 주차장,
661,6031f1aa,자전거가게,
662,8a67ebf1,자전거,
663,82f5d059,,BirdsEye afbeeldingen
664,2e953601,작은 술집,
665,6aa3b3ef,흑-녹,
666,07e2683a,흑-주황,
667,89ece0c7,흑-적-흑,
668,5b6bc623,흑-적,
669,e8878aa3,흑,
670,d0b15071,흑-백-흑,
671,55030f4d,흑-백,
672,efa65ed8,흑-황-흑,
673,e2967cec,흑-황,
674,303b3494,청색,
675,cfbef726,청-백,
676,21e7578d,Bluetooth MAC 주소,
677,460f0467,보트/모터렌탈,
678,278e3853,보트램프,
679,b75b7d6b,보트 서비스,
680,4b640bcc,늪,
681,3a29a71d,보헤미아식,
682,1829831f,책방,
683,ac739556,서점/대여점,
684,4471887f,국경,
685,fe29b6a1,해도경계,
686,a34d883c,Borneo RSO,
687,262491f0,양측,
688,b63572f2,바닥 상태,
689,26029c34,볼링센터,
690,932c6878,볼링,
691,57ce00b4,,Brasilia
692,dde9a067,브라질식,
693,14b9da1a,아침 식사 및 브런치,
694,f7457255,평영,
695,12e8d417,평영,
696,21d90a71,교량,
697,8bf986f4,영국식,
698,019bfbeb,British Grid,
699,034958b2,브루나이식,
700,e775f085,Budget 공항,
701,8752f2f1,Budget 공항외,
702,1551f71d,Buell 딜러,
703,bc1fe010,건물,
704,4bb1ab0d,부표,
705,90b243fb,동단부표,
706,2ca41a0f,북단부표,
707,c0a00de5,남단부표,
708,11e65a25,서단부표,
709,ef280fae,햄버거,
710,078389e5,버스정류장,
711,8c49823a,버스정류장,
712,2070820e,비지니스 시설,
713,f5460de6,비즈니스,
714,2b54929e,비지니스 서비스,
715,4b2ba3c8,케이던스,
716,3a2b8905,케이던스,
717,8d1f3fbb,케이던스 게이지,
718,7a1f21d2,케이던스 게이지,
719,e08f88c7,종일,
720,07ef763d,일정 없음,
721,9fe71a65,오늘,
722,c3d3483d,세부 정보 없음,
723,76d25224,,Geen events in volgende 24 uur.
724,2c34814a,,Geen events\nmeer vandaag!
725,691f4765,지금,
726,b54d6d94,내일,
727,1c980ec2,워크아웃,
728,11facff4,COG,
729,4a1ed8a1,보정 중…,
730,5f75b13a,보정 성공,
731,f04c5aef,GPS 신호가 꺼졌습니다. 트랙 지원 보정을 다시 시도하세요.,
732,1dbf376c,%1\nmy Garmin에서 발송,
733,0eef6c58,k,
734,b491c617,항목%1 선택,
735,4a013c6e,%1이(가) 장치에 설치되었습니다.,
736,38265cd7,Garmin Connect IQ,
737,fc0e9927,계속하려면 장치와 Garmin Connect Mobile을 페어링해야 합니다.,
738,9597d7d4,%1 사용을 위해 결제해야 합니다. 자세한 내용은 앱 개발자에게 문의하세요.,
739,96a9dc24,취소,
740,c7d78320,내 카드,
